,Sample,Genotype,Treatment,Treat_Level,Treatment2,Tank,Rank,Status
G12A2,G12A2,G12,All,high,stress,2,3,Best
G12A21,G12A21,G12,All,high,stress,21,3,Best
G12A36,G12A36,G12,All,high,stress,36,3,Best
G12B1,G12B1,G12,Bacteria,intermediate,stress,1,3,Best
G12B11,G12B11,G12,Bacteria,intermediate,stress,11,3,Best
G12B20,G12B20,G12,Bacteria,intermediate,stress,20,3,Best
G12C22,G12C22,G12,Control,control,control,22,3,Best
G12C6,G12C6,G12,Control,control,control,6,3,Best
G12C9,G12C9,G12,Control,control,control,9,3,Best
G12H3,G12H3,G12,Heat,intermediate,stress,3,3,Best
G12H32,G12H32,G12,Heat,intermediate,stress,32,3,Best
G12P18,G12P18,G12,pCO2,intermediate,stress,18,3,Best
G12P26,G12P26,G12,pCO2,intermediate,stress,26,3,Best
G12P4,G12P4,G12,pCO2,intermediate,stress,4,3,Best
G20A2,G20A2,G20,All,high,stress,2,4,Best
G20A21,G20A21,G20,All,high,stress,21,4,Best
G20A36,G20A36,G20,All,high,stress,36,4,Best
G20B1,G20B1,G20,Bacteria,intermediate,stress,1,4,Best
G20B11,G20B11,G20,Bacteria,intermediate,stress,11,4,Best
G20B20,G20B20,G20,Bacteria,intermediate,stress,20,4,Best
G20C22,G20C22,G20,Control,control,control,22,4,Best
G20C6,G20C6,G20,Control,control,control,6,4,Best
G20C9,G20C9,G20,Control,control,control,9,4,Best
G20H3,G20H3,G20,Heat,intermediate,stress,3,4,Best
G20H32,G20H32,G20,Heat,intermediate,stress,32,4,Best
G20H5,G20H5,G20,Heat,intermediate,stress,5,4,Best
G20P18,G20P18,G20,pCO2,intermediate,stress,18,4,Best
G20P26,G20P26,G20,pCO2,intermediate,stress,26,4,Best
G20P4,G20P4,G20,pCO2,intermediate,stress,4,4,Best
G27A2,G27A2,G27,All,high,stress,2,8,Worst
G27A36,G27A36,G27,All,high,stress,36,8,Worst
G27B20,G27B20,G27,Bacteria,intermediate,stress,20,8,Worst
G27B25,G27B25,G27,Bacteria,intermediate,stress,25,8,Worst
G27B34,G27B34,G27,Bacteria,intermediate,stress,34,8,Worst
G27C35,G27C35,G27,Control,control,control,35,8,Worst
G27C6,G27C6,G27,Control,control,control,6,8,Worst
G27C9,G27C9,G27,Control,control,control,9,8,Worst
G27H32,G27H32,G27,Heat,intermediate,stress,32,8,Worst
G27P4,G27P4,G27,pCO2,intermediate,stress,4,8,Worst
G2B20,G2B20,G2,Bacteria,intermediate,stress,20,5,Worst
G2B34,G2B34,G2,Bacteria,intermediate,stress,34,5,Worst
G2C22,G2C22,G2,Control,control,control,22,5,Worst
G2C35,G2C35,G2,Control,control,control,35,5,Worst
G2C9,G2C9,G2,Control,control,control,9,5,Worst
G2P26,G2P26,G2,pCO2,intermediate,stress,26,5,Worst
G31A21,G31A21,G31,All,high,stress,21,7,Worst
G31A29,G31A29,G31,All,high,stress,29,7,Worst
G31B11,G31B11,G31,Bacteria,intermediate,stress,11,7,Worst
G31B20,G31B20,G31,Bacteria,intermediate,stress,20,7,Worst
G31C22,G31C22,G31,Control,control,control,22,7,Worst
G31C6,G31C6,G31,Control,control,control,6,7,Worst
G31C9,G31C9,G31,Control,control,control,9,7,Worst
G31H3,G31H3,G31,Heat,intermediate,stress,3,7,Worst
G31H5,G31H5,G31,Heat,intermediate,stress,5,7,Worst
G31P26,G31P26,G31,pCO2,intermediate,stress,26,7,Worst
G31P37,G31P37,G31,pCO2,intermediate,stress,37,7,Worst
G31P4,G31P4,G31,pCO2,intermediate,stress,4,7,Worst
G34A21,G34A21,G34,All,high,stress,21,6,Worst
G34A29,G34A29,G34,All,high,stress,29,6,Worst
G34B1,G34B1,G34,Bacteria,intermediate,stress,1,6,Worst
G34C22,G34C22,G34,Control,control,control,22,6,Worst
G34C27,G34C27,G34,Control,control,control,27,6,Worst
G34C30,G34C30,G34,Control,control,control,30,6,Worst
G34H3,G34H3,G34,Heat,intermediate,stress,3,6,Worst
G34H32,G34H32,G34,Heat,intermediate,stress,32,6,Worst
G34H5,G34H5,G34,Heat,intermediate,stress,5,6,Worst
G34P18,G34P18,G34,pCO2,intermediate,stress,18,6,Worst
G34P37,G34P37,G34,pCO2,intermediate,stress,37,6,Worst
G38A2,G38A2,G38,All,high,stress,2,1,Best
G38A21,G38A21,G38,All,high,stress,21,1,Best
G38A36,G38A36,G38,All,high,stress,36,1,Best
G38B11,G38B11,G38,Bacteria,intermediate,stress,11,1,Best
