,SampleID,betdistbc,betdistbc_mod,betdistbj,Genotype,Treatment,Treat_Level,Treatment2,Tank,Rank,Status
1,G12A2,0.147521961,0.987554274,0.239741641,G12,All,high,stress,2,3,Best
2,G12A21,0.150436343,1.007063977,0.239741641,G12,All,high,stress,21,3,Best
3,G12A36,0.169267682,1.133126359,0.239741641,G12,All,high,stress,36,3,Best
4,G12B1,0.150253633,1.005840865,0.276507092,G12,Bacteria,intermediate,stress,1,3,Best
5,G12B11,0.361530565,2.420189175,0.331117021,G12,Bacteria,intermediate,stress,11,3,Best
6,G12B20,0.149614442,1.001561941,0.239741641,G12,Bacteria,intermediate,stress,20,3,Best
7,G12C22,0.148043358,0.991044653,0.239741641,G12,Control,control,control,22,3,Best
8,G12C6,0.150602159,1.008174001,0.276507092,G12,Control,control,control,6,3,Best
9,G12C9,0.149497838,1.000781354,0.276507092,G12,Control,control,control,9,3,Best
10,G12H3,0.152192766,1.018821976,0.239741641,G12,Heat,intermediate,stress,3,3,Best
11,G12H32,0.148626347,0.994947347,0.239741641,G12,Heat,intermediate,stress,32,3,Best
12,G12P18,0.150075675,1.004649563,0.276507092,G12,pCO2,intermediate,stress,18,3,Best
13,G12P26,0.154113083,1.03167713,0.239741641,G12,pCO2,intermediate,stress,26,3,Best
14,G12P4,0.150308967,1.006211284,0.276507092,G12,pCO2,intermediate,stress,4,3,Best
15,G20A2,0.160270081,0.995008203,0.252494934,G20,All,high,stress,2,4,Best
16,G20A21,0.159812087,0.992164834,0.252494934,G20,All,high,stress,21,4,Best
17,G20A36,0.162047684,1.006044137,0.282573455,G20,All,high,stress,36,4,Best
18,G20B1,0.159328229,0.989160884,0.252494934,G20,Bacteria,intermediate,stress,1,4,Best
19,G20B11,0.161806663,1.004547803,0.282573455,G20,Bacteria,intermediate,stress,11,4,Best
20,G20B20,0.177028018,1.099046866,0.366033435,G20,Bacteria,intermediate,stress,20,4,Best
21,G20C22,0.158399569,0.983395463,0.252494934,G20,Control,control,control,22,4,Best
22,G20C6,0.162419491,1.008352433,0.282573455,G20,Control,control,control,6,4,Best
23,G20C9,0.162403332,1.008252112,0.282573455,G20,Control,control,control,9,4,Best
24,G20H3,0.162355458,1.007954894,0.282573455,G20,Heat,intermediate,stress,3,4,Best
25,G20H32,0.160430509,0.996004197,0.252494934,G20,Heat,intermediate,stress,32,4,Best
26,G20H5,0.160525828,0.996595966,0.252494934,G20,Heat,intermediate,stress,5,4,Best
27,G20P18,0.162818395,1.010828956,0.282573455,G20,pCO2,intermediate,stress,18,4,Best
28,G20P26,0.162541811,1.009111833,0.282573455,G20,pCO2,intermediate,stress,26,4,Best
29,G20P4,0.162379898,1.008106629,0.282573455,G20,pCO2,intermediate,stress,4,4,Best
30,G27A2,0.34605888,1.05274746,0.385828267,G27,All,high,stress,2,8,Worst
31,G27A36,0.278979526,0.84868502,0.304901216,G27,All,high,stress,36,8,Worst
32,G27B20,0.402863257,1.225552342,0.493591692,G27,Bacteria,intermediate,stress,20,8,Worst
33,G27B25,0.396122458,1.205046124,0.493591692,G27,Bacteria,intermediate,stress,25,8,Worst
34,G27B34,0.407032131,1.238234494,0.493591692,G27,Bacteria,intermediate,stress,34,8,Worst
35,G27C35,0.413537361,1.258024088,0.493591692,G27,Control,control,control,35,8,Worst
36,G27C6,0.285245414,0.867746508,0.304901216,G27,Control,control,control,6,8,Worst
37,G27C9,0.287376468,0.874229401,0.304901216,G27,Control,control,control,9,8,Worst
38,G27H32,0.409406236,1.245456772,0.493591692,G27,Heat,intermediate,stress,32,8,Worst
39,G27P4,0.314840046,0.95777649,0.385828267,G27,pCO2,intermediate,stress,4,8,Worst
40,G2B20,0.162083335,0.999878729,0.282573455,G2,Bacteria,intermediate,stress,20,5,Worst
41,G2B34,0.175635962,1.083483769,0.377659574,G2,Bacteria,intermediate,stress,34,5,Worst
42,G2C22,0.162124358,1.000131798,0.282573455,G2,Control,control,control,22,5,Worst
43,G2C35,0.162016958,0.999469257,0.282573455,G2,Control,control,control,35,5,Worst
44,G2C9,0.162167663,1.000398947,0.282573455,G2,Control,control,control,9,5,Worst
45,G2P26,0.162001099,0.999371423,0.282573455,G2,pCO2,intermediate,stress,26,5,Worst
46,G31A21,0.32436726,1.667941255,0.455243161,G31,All,high,stress,21,7,Worst
47,G31A29,0.243069408,1.249896472,0.380471125,G31,All,high,stress,29,7,Worst
48,G31B11,0.245304586,1.261390068,0.380471125,G31,Bacteria,intermediate,stress,11,7,Worst
49,G31B20,0.261105352,1.342639788,0.435992908,G31,Bacteria,intermediate,stress,20,7,Worst
50,G31C22,0.223778138,1.150698098,0.377659574,G31,Control,control,control,22,7,Worst
51,G31C6,0.193000019,0.992432758,0.239741641,G31,Control,control,control,6,7,Worst
52,G31C9,0.166636743,0.85686915,0.276507092,G31,Control,control,control,9,7,Worst
53,G31H3,0.243874786,1.254037838,0.380471125,G31,Heat,intermediate,stress,3,7,Worst
54,G31H5,0.226598548,1.165201036,0.304901216,G31,Heat,intermediate,stress,5,7,Worst
55,G31P26,0.191789123,0.986206162,0.239741641,G31,pCO2,intermediate,stress,26,7,Worst
56,G31P37,0.32239301,1.657789389,0.455243161,G31,pCO2,intermediate,stress,37,7,Worst
57,G31P4,0.194710448,1.001228017,0.239741641,G31,pCO2,intermediate,stress,4,7,Worst
58,G34A21,0.322549377,1.315066909,0.455243161,G34,All,high,stress,21,6,Worst
59,G34A29,0.323039095,1.317063538,0.455243161,G34,All,high,stress,29,6,Worst
60,G34B1,0.246026485,1.003075222,0.332180851,G34,Bacteria,intermediate,stress,1,6,Worst
61,G34C22,0.248321665,1.012432908,0.332180851,G34,Control,control,control,22,6,Worst
62,G34C27,0.246671106,1.005703409,0.380471125,G34,Control,control,control,27,6,Worst
63,G34C30,0.240823884,0.981863687,0.380471125,G34,Control,control,control,30,6,Worst
64,G34H3,0.324941972,1.324821763,0.455243161,G34,Heat,intermediate,stress,3,6,Worst
65,G34H32,0.33113785,1.350082994,0.521593212,G34,Heat,intermediate,stress,32,6,Worst
66,G34H5,0.247915964,1.010778824,0.414893617,G34,Heat,intermediate,stress,5,6,Worst
67,G34P18,0.188488374,0.768486441,0.239741641,G34,pCO2,intermediate,stress,18,6,Worst
68,G34P37,0.323842,1.320337063,0.455243161,G34,pCO2,intermediate,stress,37,6,Worst
69,G38A2,0.163009933,0.991356984,0.252494934,G38,All,high,stress,2,1,Best
70,G38A21,0.165484777,1.006407928,0.252494934,G38,All,high,stress,21,1,Best
71,G38A36,0.162028916,0.985390854,0.282573455,G38,All,high,stress,36,1,Best
72,G38B11,0.159264438,0.968578475,0.252494934,G38,Bacteria,intermediate,stress,11,1,Best
73,G38B20,0.158254882,0.962438787,0.252494934,G38,Bacteria,intermediate,stress,20,1,Best
74,G38C22,0.168632322,1.025549957,0.252494934,G38,Control,control,control,22,1,Best
75,G38C6,0.160892922,0.978482222,0.252494934,G38,Control,control,control,6,1,Best
76,G38C9,0.163768098,0.995967822,0.282573455,G38,Control,control,control,9,1,Best
77,G38H3,0.159934128,0.972651244,0.252494934,G38,Heat,intermediate,stress,3,1,Best
78,G38H32,0.160424203,0.975631673,0.252494934,G38,Heat,intermediate,stress,32,1,Best
79,G38P18,0.161023133,0.97927411,0.252494934,G38,pCO2,intermediate,stress,18,1,Best
80,G38P26,0.1630585,0.991652346,0.282573455,G38,pCO2,intermediate,stress,26,1,Best
81,G38P4,0.15883675,0.965977461,0.252494934,G38,pCO2,intermediate,stress,4,1,Best
82,G4A2,0.16192009,0.995795526,0.282573455,G4,All,high,stress,2,2,Best
83,G4A29,0.166132527,1.021701674,0.282573455,G4,All,high,stress,29,2,Best
84,G4A36,0.161032795,0.990338734,0.252494934,G4,All,high,stress,36,2,Best
85,G4B1,0.162263561,0.997907844,0.282573455,G4,Bacteria,intermediate,stress,1,2,Best
86,G4B11,0.174510399,1.073224912,0.366033435,G4,Bacteria,intermediate,stress,11,2,Best
87,G4B20,0.158958205,0.977580173,0.252494934,G4,Bacteria,intermediate,stress,20,2,Best
88,G4C22,0.162354694,0.998468305,0.282573455,G4,Control,control,control,22,2,Best
89,G4C9,0.162852811,1.00153169,0.282573455,G4,Control,control,control,9,2,Best
90,G4H32,0.16216881,0.997325137,0.282573455,G4,Heat,intermediate,stress,32,2,Best
91,G4H5,0.163589484,1.006062166,0.282573455,G4,Heat,intermediate,stress,5,2,Best
92,G4P18,0.163638603,1.006364245,0.352583587,G4,pCO2,intermediate,stress,18,2,Best
93,G4P26,0.170616488,1.049277679,0.377659574,G4,pCO2,intermediate,stress,26,2,Best
94,G4P4,0.164650252,1.012585802,0.282573455,G4,pCO2,intermediate,stress,4,2,Best
